# name,base_url
RU,http://94.159.107.150:1188
RU,http://77.222.52.201:1188
SG,http://166.108.198.197:1188
CN,http://180.110.202.208:1188
CN,http://185.227.153.156:1188
US,http://23.94.104.174:1188
US,http://152.67.228.243:1188
US,http://154.7.180.79:1188
CN,http://123.56.152.35:1188
CN,http://120.78.82.181:1188
SG,http://47.236.131.188:1188
CN,http://175.178.237.179:1188
DE,http://85.202.163.214:1188
CA,http://104.129.183.140:1188
KR,http://59.12.93.4:1188
CN,http://47.116.15.9:1188
SG,http://206.189.40.22:1188
CN,http://110.42.38.101:1188
US,http://154.17.27.100:1188
US,http://4.215.196.196:1188
DE,http://194.163.160.2:1188
US,http://172.98.13.238:1188
CN,http://8.142.90.128:1188
CN,http://47.107.109.131:1188
CN,http://182.121.207.36:1188
GB,http://185.139.7.238:1188
CN,http://171.117.2.164:1188
KR,http://152.67.221.244:1188
CN,http://123.56.13.17:1188
CN,http://117.72.82.64:1188
CN,http://20.2.203.70:1188
JP,http://141.147.157.230:1188
US,http://172.96.195.249:1188
NL,http://45.58.161.61:1188
JP,http://141.147.151.154:1188
CN,http://114.228.4.18:1188
CN,http://47.121.215.220:1188
KR,http://115.21.207.105:1188
US,http://156.238.253.220:1188
CN,http://43.143.233.18:1188
US,http://69.164.221.209:1188
US,http://65.49.203.190:1188
CN,http://47.116.37.52:1188
US,http://107.175.214.6:1188
SG,http://8.222.212.150:1188
KR,http://220.125.93.40:1188
CZ,http://212.22.70.39:1188
NO,http://84.247.161.51:1188
CN,http://139.227.101.139:1188
AU,http://152.67.124.0:1188
JP,http://150.230.195.249:1188
SG,http://43.160.204.197:1188
CN,http://8.148.75.122:1188
US,http://23.94.223.195:1188
CN,http://132.232.233.244:1188
CN,http://175.9.41.48:1188
KR,http://175.201.174.221:1188
US,http://172.245.156.47:1188
JP,http://222.0.181.109:1188
CN,http://112.28.49.238:1188
KR,http://129.154.53.190:1188
JP,http://45.143.233.46:1188
CN,http://139.224.225.116:1188
KR,http://125.134.119.42:1188
US,http://142.171.187.68:1188
RU,http://45.138.160.113:1188
JP,http://141.147.154.91:1188
AU,http://192.9.168.96:1188
CN,http://104.155.194.41:1188
CN,http://1.94.225.60:1188
CA,http://66.103.221.187:1188
US,http://82.115.7.163:1188
DE,http://5.75.163.32:1188
US,http://107.172.219.143:1188
JP,http://20.37.100.199:1188
CN,http://8.130.187.204:1188
SG,http://213.35.108.31:1188
CN,http://110.40.185.84:1188
CN,http://124.71.232.213:1188
CN,http://8.218.148.107:1188
KR,http://150.230.248.211:1188
CN,http://101.133.237.110:1188
US,http://93.179.112.5:1188
CA,http://74.48.173.163:1188
US,http://107.172.180.204:1188
KR,http://121.158.139.239:1188
SE,http://185.153.55.228:1188
US,http://142.171.196.61:1188
CN,http://223.166.101.4:1188
CN,http://39.98.233.41:1188
CN,http://47.104.29.9:2000
CN,http://139.196.232.70:1188
JP,http://43.133.177.197:1188
CN,http://59.110.162.193:1188
US,http://142.171.74.214:1188
US,http://45.32.225.6:1188
CN,http://182.150.116.137:1188
CN,http://8.210.76.129:1188
JP,http://152.69.198.171:1188
DE,http://194.39.205.17:1188
RU,http://194.26.229.34:1188
PK,http://154.201.92.177:1188
CN,http://202.81.237.189:1188
CN,http://112.126.74.237:1188
CN,http://154.26.238.31:1188
CN,http://deepl.iszu.cn
AT,http://deeplx.narutos.top
AT,https://deeplx.narutos.top
US,https://deeplxl.abox.hidns.co
US,http://deeplxl.abox.hidns.co
US,https://deepl.170888.xyz
US,http://45.32.94.20:8001
CN,http://8.134.102.70
JP,http://45.143.233.46
DE,https://factory.sogedes.ai
DE,https://dev.shop.kent.club
CN,http://159.138.131.146:8989
DE,https://no.shit.vc
AU,http://20.5.249.138:8080
CN,http://49.233.1.80:8887
CN,http://106.14.155.58:18019
US,http://upzewzdq.ap-southeast-1.clawcloudrun.com
US,https://upzewzdq.ap-southeast-1.clawcloudrun.com
SG,https://hysngmzx.ap-southeast-1.clawcloudrun.com
CN,http://103.231.12.66:32770
CN,http://111.229.181.86:3000
CN,http://118.193.35.143:6008
CN,http://121.40.25.26:8090
PL,http://188.68.240.161:8085
PL,http://188.68.240.160:8085
PL,http://188.68.234.53:8085
CN,http://106.13.196.48:9999
CN,http://106.15.191.200:3001
US,https://hippoverss-adlx.hf.space
US,http://46.232.105.125:20000
CN,http://47.119.187.148:8002
US,http://78.138.0.41:12222
CN,http://121.43.43.24:4567
CN,http://139.159.209.28:1188
DE,https://deeplx.bage-de-166cdc7d.003021.xyz
DE,http://deeplx.bage-de-166cdc7d.003021.xyz
CN,http://47.76.34.130:20000
SG,http://20.188.101.121:9000
CN,https://ali.peich.cn:8087
CN,http://deepl.popstk.top
CN,https://deepl.popstk.top
US,https://deepx.dumpit.top
CN,http://132.232.113.179:8800
US,https://deeplx.papercar.top
US,https://deeplx.keyrotate.com
US,https://deepl.aimoyu.tech
US,http://deepx.dumpit.top
US,http://deeplx.papercar.top
US,http://deepl.aimoyu.tech
JP,http://deeplx.wenhhh.com
CN,http://180.122.201.252:1188
US,https://deeplx.wenhhh.com
KR,http://140.238.19.147:9000
US,https://dpl.xpk.me
US,http://dpl.xpk.me
US,http://209.141.53.86:30006
CN,http://haleclipse.org:3001
CN,https://116.196.95.135
CN,http://182.150.116.147:1188
CN,http://38.207.160.96:9000
US,http://157.254.178.123:9000
CN,https://www.gzfantian.com:8087
CN,https://deeplx.hhhk.7182818.xyz
CN,http://deeplx.hhhk.7182818.xyz
US,https://deeplx.727204.xyz
US,http://deeplx.727204.xyz
CN,http://38.207.171.234:8188
US,http://deeplx-cf-hono.alapi.asia
US,https://deeplx-cf-hono.alapi.asia
CN,https://deepl.nom.mk
CN,http://deepl.nom.mk
US,https://deepl.osprey.eu.org
US,http://deeplx.109179.xyz
US,https://deeplx.109179.xyz
US,http://150.230.46.219:8136
US,https://atcoder-better.yangtong.sbs
US,http://atcoder-better.yangtong.sbs
US,http://deepl.cnsaas.top
CA,https://deepl.cnsaas.top
JP,https://dlx.bitjss.com
JP,http://dlx.bitjss.com
CN,https://deeplx.server7.ziqiang.net.cn
CN,http://deeplx.server7.ziqiang.net.cn
US,http://deeplx.zhijiu.site
US,https://deeplx.zhijiu.site
CN,http://123.116.157.173:8100
CN,http://112.124.40.206:8077
CN,http://lx.jmhch.cf
US,http://deeplx.wang-rui-xuan.sbs
US,https://deeplx.wang-rui-xuan.sbs
US,http://deeplx.zkplife.top
US,https://deeplx.zkplife.top
SG,https://render.us.kg
US,http://deeplx.he-sb.top
US,https://deeplx.he-sb.top
DE,https://tradutor.ruglesms.xyz
CN,https://deepl.icloudnative.io
CN,http://180.122.164.21:1188
CN,http://t.obai.cc
US,https://jeff86-deeplx.hf.space
CN,https://t.obai.cc
US,https://proxy-deepl.lingoway.net
US,http://proxy-deepl.lingoway.net
CN,https://deeplx.chenflxs.xin
CN,http://42.192.93.139:10003
CN,http://101.33.251.73:2000
CN,http://deep.200304.xyz
CN,https://deep.200304.xyz
US,http://pypi-official-data.argos-labs.com
